cityname,provincename,countryname
Qal eh-ye,Badghis,Afghanistan
Chaghcharan,Ghor,Afghanistan
Lashkar Gah,Hilmand,Afghanistan
Zaranj,Nimroz,Afghanistan
Tarin Kowt,Uruzgan,Afghanistan
Zareh Sharan,Paktika,Afghanistan
Asadabad,Kunar,Afghanistan
Taloqan,Takhar,Afghanistan
Mahmud-E Eraqi,Kapisa,Afghanistan
Mehtar Lam,Laghman,Afghanistan
Baraki Barak,Logar,Afghanistan
Aybak,Samangan,Afghanistan
Mayda Shahr,Wardak,Afghanistan
Karokh,Hirat,Afghanistan
Sheberghan,Jawzjan,Afghanistan
Pol-e Khomri,Baghlan,Afghanistan
Balkh,Balkh,Afghanistan
Meymaneh,Faryab,Afghanistan
Andkhvoy,Faryab,Afghanistan
Qalat,Zabul,Afghanistan
Ghazni,Ghazni,Afghanistan
Feyzabad,Badakhshan,Afghanistan
Kondoz,Kunduz,Afghanistan
Jalalabad,Nangarhar,Afghanistan
Charikar,Parwan,Afghanistan
Gardiz,Paktya,Afghanistan
Bamian,Bamyan,Afghanistan
Baghlan,Baghlan,Afghanistan
Farah,Farah,Afghanistan
Herat,Hirat,Afghanistan
Mazar-e Sharif,Balkh,Afghanistan
Kandahar,Kandahar,Afghanistan
Kabul,Kabul,Afghanistan
Kruje,Durrës,Albania
Fier,Fier,Albania
Lushnje,Fier,Albania
Puke,Shkodër,Albania
Bajram Curri,Kukës,Albania
Kukes,Kukës,Albania
Sarande,Vlorë,Albania
Erseke,Korçë,Albania
Pogradec,Korçë,Albania
Korce,Korçë,Albania
Berat,Berat,Albania
Corovode,Berat,Albania
Gramsh,Elbasan,Albania
Librazhd,Elbasan,Albania
Tepelene,Gjirokastër,Albania
Permet,Gjirokastër,Albania
Gjirokaster,Gjirokastër,Albania
Peshkopi,Dibër,Albania
Burrel,Dibër,Albania
Lezhe,Lezhë,Albania
Rreshen,Lezhë,Albania
Vlore,Vlorë,Albania
Elbasan,Elbasan,Albania
Durres,Durrës,Albania
Shkoder,Shkodër,Albania
Tirana,Durrës,Albania
Jijel,Jijel,Algeria
Tizi-Ouzou,Tizi Ouzou,Algeria
Bordj Bou Arreridj,Bordj Bou Arréridj,Algeria
M'sila,M'Sila,Algeria
Guelma,Guelma,Algeria
Oum el Bouaghi,Oum el Bouaghi,Algeria
Timimoun,Adrar,Algeria
Sidi bel Abbes,Sidi Bel Abbès,Algeria
Tlimcen,Tlemcen,Algeria
Beni Ounif,Béchar,Algeria
Abadla,Béchar,Algeria
Sefra,Naâma,Algeria
Skikda,Skikda,Algeria
Djanet,Illizi,Algeria
I-n-Amenas,Illizi,Algeria
In Amguel,Tamanghasset,Algeria
El Bayadh,El Bayadh,Algeria
El Oued,Biskra,Algeria
Hassi Messaoud,Ouargla,Algeria
Chlef,Chlef,Algeria
Mascara,Mascara,Algeria
Mostaganem,Mostaganem,Algeria
Saida,Saïda,Algeria
Tiarat,Tiaret,Algeria
Bejaia,Béjaïa,Algeria
Blida,Blida,Algeria
Bouira,Bouira,Algeria
Medea,Médéa,Algeria
Souk Ahras,Souk Ahras,Algeria
Tebessa,Tébessa,Algeria
Adrar,Adrar,Algeria
Reggane,Adrar,Algeria
Bechar,Béchar,Algeria
Tindouf,Tindouf,Algeria
Illizi,Illizi,Algeria
Arak,Tamanghasset,Algeria
I-n-Salah,Tamanghasset,Algeria
El Golea,Ghardaïa,Algeria
Laghouat,Laghouat,Algeria
Touggourt,Ouargla,Algeria
Ouargla,Ouargla,Algeria
Biskra,Biskra,Algeria
Djelfa,Djelfa,Algeria
Setif,Sétif,Algeria
Batna,Batna,Algeria
Annaba,Annaba,Algeria
Constantine,Constantine,Algeria
Oran,Oran,Algeria
Tamanrasset,Tamanghasset,Algeria
Ghardaia,Ghardaïa,Algeria
Algiers,Alger,Algeria
Mucusso,Cuando Cubango,Angola
Lucapa,Lunda Norte,Angola
Capenda-Camulemba,Lunda Norte,Angola
Saurimo,Lunda Sul,Angola
Muconda,Lunda Sul,Angola
Cacolo,Lunda Sul,Angola
Caxito,Bengo,Angola
Camabatela,Cuanza Norte,Angola
Ndalatando,Cuanza Norte,Angola
Quibala,Cuanza Sul,Angola
Calulo,Cuanza Sul,Angola
Waku Kungo,Cuanza Sul,Angola
Songo,Uíge,Angola
Mbanza-Congo,Zaire,Angola
Nzeto,Zaire,Angola
Soyo,Zaire,Angola
Cabinda,Cabinda,Angola
Calucinga,Bié,Angola
Camacupa,Bié,Angola
Cubal,Benguela,Angola
Mavinga,Cuando Cubango,Angola
Cuito Caunavale,Cuando Cubango,Angola
Luiana,Cuando Cubango,Angola
Ondjiva,Cunene,Angola
Chitado,Cunene,Angola
Chibemba,Huíla,Angola
Chibia,Huíla,Angola
Quipungo,Huíla,Angola
Luau,Moxico,Angola
Cangamba,Moxico,Angola
Lumbala Nguimbo,Moxico,Angola
Cazombo,Moxico,Angola
Dundo,Lunda Norte,Angola
Ambriz,Bengo,Angola
Dondo,Cuanza Norte,Angola
Sumbe,Cuanza Sul,Angola
Uige,Uíge,Angola
Kuito,Bié,Angola
Lobito,Benguela,Angola
Xangongo,Cunene,Angola
Luena,Moxico,Angola
Tombua,Namibe,Angola
Malanje,Malanje,Angola
Benguela,Benguela,Angola
Lubango,Huíla,Angola
Namibe,Namibe,Angola
Menongue,Cuando Cubango,Angola
Huambo,Huambo,Angola
Luanda,Luanda,Angola
28 de Noviembre,Santa Cruz,Argentina
Gobernador Gregores,Santa Cruz,Argentina
Comondante Luis Piedrabuena,Santa Cruz,Argentina
Paso Rio Mayo,Chubut,Argentina
Alto Rio Sanguer,Chubut,Argentina
El Maiten,Chubut,Argentina
Puerto Madryn,Chubut,Argentina
Trelew,Chubut,Argentina
Las Heras,Mendoza,Argentina
San Martin,Mendoza,Argentina
Uspallata,Mendoza,Argentina
Cutral Co,Neuquén,Argentina
Punta Alta,Ciudad de Buenos Aires,Argentina
San Nicolas,Ciudad de Buenos Aires,Argentina
Campana,Ciudad de Buenos Aires,Argentina
Chacabuco,Ciudad de Buenos Aires,Argentina
Mercedes,Ciudad de Buenos Aires,Argentina
Lincoln,Ciudad de Buenos Aires,Argentina
Chivilcoy,Ciudad de Buenos Aires,Argentina
Veinticinco de Mayo,Ciudad de Buenos Aires,Argentina
Nueve de Julio,Ciudad de Buenos Aires,Argentina
Dolores,Ciudad de Buenos Aires,Argentina
Pedro Luro,Ciudad de Buenos Aires,Argentina
Tres Arroyos,Ciudad de Buenos Aires,Argentina
Coronel Suarez,Ciudad de Buenos Aires,Argentina
